69,62,41,87,55,16,74,49,44,70,44,88,74,37,43,85,10,6,58,30,13,79,60,79,90
81,83,54,82,45,50,98,64,91,25,8,76,54,72,16,47,64,100,16,59,55,96,27,18,38
59,12,5,82,3,60,71,83,97,19,76,9,78,96,31,68,25,43,36,90,53,68,53,16,3
84,1,98,46,100,82,30,3,47,100,82,7,39,31,92,45,72,72,34,15,12,49,79,11,47
77,45,43,48,32,68,75,73,76,31,10,79,72,6,4,79,81,67,47,27,57,77,55,79,26
10,36,48,72,49,35,97,51,40,47,47,62,47,59,46,24,52,40,54,37,79,96,39,37,71
58,38,39,31,48,74,57,65,24,2,82,55,95,70,67,79,90,44,88,27,99,51,36,75,77
65,70,22,9,36,12,68,13,23,7,64,8,15,18,63,57,93,35,21,59,24,59,20,19,29
73,8,54,79,49,98,30,52,91,97,17,99,27,23,54,48,30,86,49,20,82,92,12,23,94
59,66,19,90,84,92,73,48,84,85,45,32,91,25,90,26,55,19,70,93,27,92,9,45,49
73,8,66,56,55,60,25,55,5,51,64,35,10,89,66,78,14,55,21,38,44,54,3,2,21
1,18,42,93,50,41,12,25,19,26,8,86,34,25,52,87,95,59,37,74,91,11,80,2,86
87,40,54,92,57,89,58,39,24,86,25,3,82,34,32,70,26,51,1,68,80,54,32,42,61
90,36,51,83,28,17,25,72,37,58,26,30,6,39,71,64,30,88,1,35,77,28,78,11,60
56,33,43,65,58,99,25,47,21,83,19,99,23,57,54,96,64,61,24,99,42,66,76,91,30
24,12,80,75,20,100,29,16,93,97,62,7,22,37,20,19,59,92,96,16,50,98,56,51,89
46,41,19,39,39,24,30,38,34,52,69,20,60,4,38,73,7,63,71,60,3,98,44,5,27
60,35,77,37,3,17,100,52,2,65,55,72,85,69,40,54,93,81,83,97,42,9,94,51,33
36,10,62,35,31,52,1,61,59,9,69,54,39,26,12,85,14,69,1,64,4,61,11,87,48
59,44,88,90,41,63,41,12,1,71,39,64,13,50,8,24,50,36,9,79,6,77,6,21,36
20,69,88,19,14,98,100,82,10,83,92,21,71,24,57,99,91,95,61,98,13,88,78,24,78
79,43,26,28,100,87,11,25,98,24,47,5,30,62,79,13,98,11,14,65,6,86,8,38,21
100,31,28,38,91,3,48,83,4,79,32,27,65,43,46,99,15,2,53,95,82,23,84,26,8
56,81,37,79,88,9,25,42,16,5,67,10,73,14,1,80,28,5,94,22,92,68,42,79,40
66,2,2,35,94,58,71,65,82,27,51,33,96,7,17,45,5,85,20,63,39,86,28,52,24
