59,85,78,1,89,69,18,19,77,59,75,95,83,71,3,68,24,46,58,5,68,87,26,82,88,76,67,55,41,45,26,95,53,89,22,8,8,35,98,71,67,26,55,3,10,40,27,82,63,99
24,4,22,63,63,91,96,52,55,30,87,32,80,51,91,67,73,82,52,2,49,15,11,53,10,100,90,4,44,72,42,19,27,96,71,91,3,20,89,86,2,50,78,56,97,26,50,98,5,60
30,64,55,5,95,80,28,25,87,68,52,64,9,20,37,68,48,47,66,53,79,67,73,75,28,53,16,8,53,3,62,12,69,75,38,93,33,39,20,45,92,7,67,66,23,71,99,98,34,35
41,92,3,93,43,3,75,48,48,77,78,2,31,87,39,53,100,49,11,37,84,45,34,72,32,70,53,94,75,51,84,27,91,66,3,64,70,52,15,22,89,33,68,43,13,56,23,93,65,10
84,79,94,21,53,24,72,75,6,56,40,87,94,37,31,26,92,48,61,63,52,16,7,99,16,14,52,98,90,67,54,32,49,53,88,85,54,84,37,73,76,57,15,55,6,52,85,36,71,3
41,87,82,32,77,77,41,89,78,100,56,57,11,37,60,9,32,31,92,80,45,1,91,53,9,54,97,60,56,45,99,71,7,84,66,39,60,91,77,13,90,62,48,23,56,9,34,82,32,96
83,42,95,60,100,96,81,46,29,7,21,30,5,41,67,33,65,92,48,9,50,76,24,92,47,31,39,53,71,28,80,20,58,61,33,35,63,60,63,99,47,1,18,94,100,46,20,99,98,49
37,99,72,4,70,76,97,23,55,5,18,21,97,71,89,73,19,18,38,2,25,52,83,73,77,91,97,32,32,24,52,47,94,82,75,87,41,33,94,90,43,46,82,59,76,11,20,81,36,44
75,34,66,33,99,50,44,16,70,77,75,59,60,54,12,83,53,6,27,33,22,96,89,10,33,98,65,77,28,49,6,52,44,90,75,79,7,84,53,74,35,14,55,32,98,59,47,86,54,12
1,82,54,10,22,92,23,28,82,35,70,6,12,64,85,1,41,6,55,10,86,44,62,75,80,50,64,24,76,81,4,22,84,25,4,83,91,96,87,94,40,83,17,74,79,26,62,46,3,35
44,72,32,72,63,49,54,22,54,44,65,71,19,63,92,63,21,97,91,28,86,69,79,15,26,35,37,54,21,14,66,81,31,18,84,85,72,43,84,49,40,18,11,99,69,19,22,70,70,70
64,46,89,28,7,78,48,65,77,20,89,6,25,36,80,75,24,84,5,45,10,83,26,5,18,31,41,5,30,99,42,38,99,85,26,95,18,87,62,95,4,46,64,33,95,90,92,21,39,96
27,65,11,90,95,33,54,83,100,83,35,32,78,92,19,67,18,5,71,75,30,5,65,5,22,53,7,72,32,18,18,88,22,3,38,29,75,36,63,18,3,79,60,18,47,25,70,21,19,27
2,18,11,35,73,81,15,59,77,96,71,84,38,44,69,36,77,39,81,43,66,75,80,37,95,34,89,43,65,85,77,99,59,24,49,62,35,82,27,8,5,16,72,12,46,49,92,90,19,87
12,21,95,25,30,99,51,100,24,9,97,81,14,26,22,5,66,45,95,88,53,37,10,100,18,28,69,43,68,28,48,86,65,40,36,98,60,17,64,14,27,68,5,30,93,13,6,57,37,16
70,75,46,78,79,52,15,22,69,96,48,90,14,64,97,64,51,36,29,74,93,76,5,88,76,4,20,43,39,87,20,75,66,2,64,26,27,51,57,11,32,24,23,49,81,99,40,87,72,54
95,89,55,73,67,31,47,95,2,70,4,2,35,3,63,25,81,32,94,28,63,23,74,18,17,14,98,71,55,78,5,73,33,43,83,73,60,52,86,92,33,83,93,66,38,37,10,10,14,72
54,33,49,12,43,13,16,89,56,25,93,18,59,89,6,61,14,5,78,33,89,55,21,83,10,51,99,85,51,80,9,64,72,44,17,53,78,34,12,17,78,67,97,90,8,90,65,90,85,33
14,78,5,38,84,83,22,52,97,61,9,30,94,27,83,10,7,88,39,74,80,32,46,75,100,54,7,91,34,5,44,100,94,67,69,6,92,81,14,78,14,94,32,24,50,72,60,83,61,80
58,23,68,100,26,61,1,53,98,97,54,58,72,1,48,93,41,49,48,86,7,45,57,75,96,87,82,7,54,14,43,76,11,3,54,51,43,51,50,95,24,79,54,70,60,69,52,6,91,13
50,55,84,81,1,31,3,58,24,25,63,28,73,13,34,17,46,67,5,88,95,11,22,98,52,47,83,61,86,11,33,21,50,4,30,25,80,54,22,10,19,1,45,63,87,1,96,21,44,32
48,97,52,46,69,53,43,98,89,60,41,78,29,48,56,70,39,7,89,5,63,93,45,94,38,63,52,61,67,13,90,76,65,21,21,68,97,36,93,29,58,7,48,62,84,91,76,71,93,5
59,36,23,76,66,31,86,76,56,30,22,100,10,11,69,12,61,82,1,64,12,68,61,39,49,82,15,38,86,63,55,51,68,35,82,90,65,43,60,71,96,87,87,36,51,42,78,70,79,30
52,65,68,47,11,59,55,8,87,24,100,33,16,34,74,85,59,75,6,68,66,95,99,84,95,44,63,14,48,4,52,63,98,10,34,30,58,87,11,83,60,79,45,61,51,17,58,97,51,21
1,43,92,68,44,46,71,97,36,23,68,85,36,24,16,43,91,2,41,41,13,6,90,51,18,55,98,7,53,90,95,81,13,2,64,92,47,62,41,55,34,91,87,49,14,25,87,55,57,97
12,75,54,62,34,23,98,18,74,97,8,49,64,81,42,42,30,15,32,9,6,51,2,54,45,73,76,1,72,40,90,23,75,91,79,23,33,62,41,21,94,90,11,4,49,83,100,72,82,32
56,47,15,68,14,68,65,36,28,20,58,22,26,54,55,45,16,43,100,73,43,43,12,58,26,2,4,33,71,95,57,97,87,88,21,40,61,69,41,42,42,10,42,57,88,16,41,9,88,62
85,9,20,10,7,62,55,39,92,100,82,2,49,16,14,49,97,93,26,76,48,68,98,17,57,37,21,69,91,79,31,4,23,74,68,69,54,51,59,20,60,87,86,21,80,9,26,50,80,51
28,1,84,66,97,5,85,4,83,84,41,43,7,67,55,56,68,93,23,24,4,46,41,72,97,21,6,16,9,59,91,48,41,46,23,52,71,38,1,24,52,73,43,11,70,76,9,8,17,34
12,10,52,46,10,76,42,32,26,5,88,52,30,79,6,69,70,37,20,13,10,83,80,82,45,49,62,71,55,66,4,21,44,64,99,67,93,30,36,22,8,40,91,27,22,88,74,65,41,29
43,45,26,70,18,97,99,77,9,34,8,2,69,24,76,74,58,11,42,51,66,18,93,62,30,7,16,2,96,4,55,62,79,81,84,44,87,52,12,83,6,72,100,84,16,65,2,93,73,83
50,71,9,80,32,89,13,97,63,35,90,2,33,7,30,76,6,99,18,60,36,42,7,99,65,40,13,29,82,17,87,95,1,29,27,53,68,46,86,26,20,77,45,64,74,47,57,23,14,8
49,69,37,45,89,89,65,98,84,7,8,62,21,62,55,11,12,37,85,39,31,21,29,19,68,83,80,37,14,80,11,60,95,66,79,51,22,18,82,15,29,26,88,50,58,41,89,85,74,78
12,52,16,56,95,67,43,94,29,71,57,27,96,36,39,48,41,74,98,49,21,99,98,18,53,83,54,79,62,82,11,5,96,81,7,22,39,65,28,15,24,86,48,30,64,23,55,75,5,97
41,14,99,59,23,73,82,9,35,1,50,51,48,34,65,65,18,77,44,41,19,54,44,10,24,19,12,75,99,16,90,14,81,11,27,52,44,94,64,83,87,90,68,62,22,62,36,10,99,82
