10,51,53,56,32,7,74,89,32,47,5,85,27,94,82,32,15,41,62,57,61,58,80,97,9
57,31,26,88,95,81,1,14,28,59,93,85,76,80,47,59,42,48,71,86,82,43,68,93,9
91,71,54,84,15,50,67,75,60,93,24,51,33,28,45,16,21,74,26,14,5,25,57,46,30
93,61,98,34,6,46,17,99,25,59,76,57,85,1,9,55,65,86,98,56,65,80,84,22,85
51,1,22,33,5,26,62,18,46,93,89,20,67,78,36,61,23,82,62,4,73,53,93,68,56
71,39,95,15,51,39,84,33,44,78,98,23,8,64,75,67,6,61,65,55,72,14,99,36,67
19,81,29,20,74,90,55,88,33,64,49,45,31,52,70,86,18,39,2,41,25,90,21,94,74
13,15,81,19,39,28,61,41,82,2,11,4,27,56,87,2,10,46,55,32,10,20,57,27,9
92,89,24,71,98,52,76,30,10,75,67,57,62,89,82,12,81,66,95,65,91,67,7,29,21
59,62,43,29,84,27,3,63,96,95,13,6,8,71,83,98,53,72,43,75,22,53,91,93,38
22,22,22,53,58,87,62,58,29,18,16,62,33,54,61,13,55,94,63,20,89,55,84,98,78
28,33,1,48,44,74,85,28,57,84,11,99,40,60,97,52,92,18,50,99,61,76,97,54,70
88,74,63,44,50,86,51,71,99,96,96,23,75,37,68,81,46,61,79,39,47,76,27,12,24
45,28,22,88,89,43,87,46,68,70,60,15,77,11,70,33,44,78,17,51,71,68,33,57,13
80,100,89,77,44,18,22,39,27,43,99,74,17,92,97,61,8,49,29,35,69,54,74,51,58
8,50,85,82,41,57,88,81,99,91,51,15,99,62,97,22,60,79,15,19,42,27,77,2,50
12,19,3,85,94,3,87,7,10,96,91,36,76,44,57,91,13,26,85,26,10,23,45,4,10
2,70,97,31,21,70,33,4,5,77,48,33,56,84,84,84,69,38,2,31,89,49,64,23,80
25,78,68,2,50,100,27,100,77,47,3,52,39,66,28,71,77,82,41,78,63,54,3,58,41
40,56,30,75,57,95,56,9,35,4,29,58,97,26,90,75,13,35,60,11,2,24,25,88,32
44,64,12,59,69,23,19,97,22,63,1,57,71,99,99,20,41,9,18,62,12,90,53,58,13
97,30,54,34,48,21,4,80,57,61,94,46,6,85,17,65,58,26,85,97,20,21,27,12,80
34,23,69,97,46,60,41,56,3,2,45,48,10,66,48,5,19,27,89,35,72,66,60,100,36
53,49,86,73,10,15,69,63,81,40,9,36,99,49,78,52,22,54,52,91,41,34,9,60,78
27,24,30,5,97,89,28,46,89,16,83,2,82,23,72,88,2,74,38,38,60,16,48,17,17
