89,42,12,32,60,29,5,58,72,16,81,57,55,93,84,97,26,64,70,4,32,4,45,76,38
3,35,6,86,26,89,5,55,73,92,31,84,89,50,87,46,20,40,29,68,94,70,4,71,56
8,29,48,8,25,59,62,86,17,87,81,44,62,17,29,39,53,100,85,73,94,43,9,89,98
99,86,94,79,22,96,27,12,22,83,57,18,63,35,76,53,45,84,51,69,80,45,4,18,29
78,99,83,5,6,19,62,59,71,53,19,43,96,99,92,24,12,69,63,9,97,48,22,77,40
34,50,25,24,5,91,29,1,71,35,83,15,66,36,12,89,78,30,63,6,62,55,14,69,9
94,55,39,73,69,49,83,64,78,13,61,23,75,47,22,34,84,58,44,33,72,46,9,14,28
52,46,76,48,48,53,93,12,19,35,97,80,57,26,41,2,10,82,42,23,22,98,8,68,73
98,68,27,25,78,61,14,80,67,86,20,30,93,40,11,3,10,14,4,39,55,55,44,75,44
7,82,69,20,4,59,96,81,93,27,53,39,67,24,46,70,40,76,35,50,73,30,64,44,55
95,86,63,90,61,20,83,38,56,27,95,59,74,6,6,57,45,31,50,60,41,79,75,63,53
11,65,13,97,40,84,65,77,39,94,24,52,20,18,91,96,42,45,45,26,94,5,67,70,22
44,53,66,85,82,29,15,50,99,78,26,35,24,70,53,67,7,98,66,38,13,88,5,72,65
66,87,13,43,92,49,27,83,1,13,10,67,44,92,11,61,100,60,19,77,27,44,4,32,45
75,89,96,10,10,28,85,87,38,56,91,64,1,10,38,65,18,21,98,90,37,36,100,80,70
92,80,14,32,52,6,24,4,89,19,96,14,3,34,13,84,72,51,81,16,70,75,70,20,6
58,82,54,12,79,97,29,71,95,83,23,89,10,77,3,8,68,97,75,7,95,21,71,99,14
70,57,99,62,39,11,4,84,39,46,97,5,18,35,99,31,24,2,62,33,60,49,58,55,98
87,91,46,12,29,83,65,51,52,63,81,70,64,86,13,61,92,3,90,14,76,35,80,33,57
44,42,93,61,81,14,84,3,58,72,37,92,82,11,61,43,37,37,29,45,32,62,4,66,93
56,89,90,44,31,14,78,82,7,98,77,5,56,21,35,88,70,4,38,64,95,26,91,23,80
80,74,41,6,7,99,62,18,20,50,30,98,85,16,20,86,17,61,22,49,71,46,29,78,37
25,33,16,4,79,39,27,16,23,68,50,47,38,58,31,43,66,50,32,37,13,70,99,75,51
15,71,37,57,2,43,64,59,14,61,26,62,78,2,13,9,86,8,50,38,48,47,86,4,88
39,47,67,1,58,10,43,61,46,32,33,82,11,86,76,12,25,26,6,3,74,43,8,67,5
